Barris	Nacionalitat	Total	Genere
Sant Genis dels Agudells	Alemanya	13	Home
Montbau	Alemanya	2	Home
la Vall d Hebron	Alemanya	7	Home
la Clota	Alemanya	1	Home
Horta	Alemanya	19	Home
Vilapicina i la Torre Llobeta	Alemanya	14	Home
Porta	Alemanya	15	Home
el Turo de la Peira	Alemanya	3	Home
Can Peguera	Alemanya	0	Home
la Guineueta	Alemanya	3	Home
Canyelles	Alemanya	0	Home
les Roquetes	Alemanya	2	Home
Verdun	Alemanya	5	Home
la Prosperitat	Alemanya	11	Home
la Trinitat Nova	Alemanya	2	Home
Torre Baro	Alemanya	0	Home
Ciutat Meridiana	Alemanya	3	Home
Vallbona	Alemanya	0	Home
la Trinitat Vella	Alemanya	5	Home
Baro de Viver	Alemanya	0	Home
el Bon Pastor	Alemanya	8	Home
Sant Andreu	Alemanya	25	Home
la Sagrera	Alemanya	30	Home
el Congres i els Indians	Alemanya	15	Home
Navas	Alemanya	23	Home
el Camp del Arpa del Clot	Alemanya	81	Home
el Clot	Alemanya	35	Home
el Parcila Llacuna del Poblenou	Alemanya	63	Home
la Vila Olimpica del Poblenou	Alemanya	58	Home
el Poblenou	Alemanya	138	Home
Diagonal Mariel Front Maritim del Poblenou	Alemanya	55	Home
el Besos i el Maresme	Alemanya	14	Home
Provençals del Poblenou	Alemanya	33	Home
Sant Marti de Provençals	Alemanya	15	Home
la Verneda i la Pau	Alemanya	13	Home
el Raval	Romania	123	Home
el Barri Gotic	Romania	98	Home
la Barceloneta	Romania	28	Home
Sant Pere Santa Caterina i la Ribera	Romania	59	Home
el Fort Pienc	Romania	61	Home
la Sagrada Familia	Romania	74	Home
la Dreta del Eixample	Romania	35	Home
l Antiga Esquerra del Eixample	Romania	66	Home
la Nova Esquerra del Eixample	Romania	90	Home
Sant Antoni	Romania	39	Home
el Poble Sec- A E I Parc Montjuïc	Romania	67	Home
la Marina del Prat Vermell- A E I Zona Franca	Romania	0	Home
la Marina de Port	Romania	86	Home
la Font de la Guatlla	Romania	33	Home
Hostafrancs	Romania	42	Home
la Bordeta	Romania	35	Home
Sants- Badal	Romania	82	Home
Sants	Romania	142	Home
les Corts	Romania	79	Home
la Maternitat i Sant Ramon	Romania	21	Home
Pedralbes	Romania	9	Home
Vallvidrerael Tibidabo i les Planes	Romania	4	Home
Sarria	Romania	10	Home
les Tres Torres	Romania	11	Home
Sant Gervasi-la Bonanova	Romania	40	Home
Sant Gervasi- Galvany	Romania	20	Home
el Putxet i el Farro	Romania	23	Home
Vallcarca i els Penitents	Romania	31	Home
el Coll	Romania	24	Home
la Salut	Romania	27	Home
la Vila de Gracia	Romania	46	Home
el Campden Grassot i Gracia Nova	Romania	76	Home
el Baix Guinardo	Romania	40	Home
Can Baro	Romania	17	Home
