Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
743.Horta	14.655	13.111	12.649	108	32	8	25	93	40	15	49	7	18	11	3	1	3	4	2	43		122	94	5	3	20		1.102	120	266	108	66	77	60	42	22	113	18	29	34	44	21	31	16	35		319	77	14	59	11	2	64	21	12	2	4	53		1	0
844.VilapicinailaTorreLlobeta	13.978	12.344	11.933	91	31	13	20	50	51	17	54	8	14	23	3	0	1	0	3	32		74	58	2	2	12		1.121	128	180	117	80	169	82	36	52	94	8	16	16	53	30	37	5	18		437	219	62	14	5	2	61	55	5	0	4	10		1	1
845.Porta	14.214	11.822	11.368	78	23	11	14	81	87	23	61	8	13	8	4	7	3	3	1	29		209	128	17	8	56		1.646	158	579	142	70	159	106	37	59	103	10	18	14	96	23	32	15	25		536	152	68	13	37	1	110	124	4	2	4	21		1	0
846.elTuródelaPeira	8.504	6.847	6.602	38	19	7	7	45	36	14	44	4	4	5	1	1	1	1	1	17		149	104	17	2	26		1.133	104	123	71	64	310	76	27	36	176	3	4	19	61	5	17	6	31		375	81	115	2	15	1	102	42	1	0	0	16		0	0
847.CanPeguera	1.188	1.082	1.057	6	0	1	0	4	5	1	4	0	1	0	1	2	0	0	0	0		28	19	0	0	9		62	6	15	6	2	6	5	2	2	7	1	1	3	2	1	0	1	2		16	3	2	2	4	0	0	2	0	0	0	3		0	0
848.laGuineueta	8.327	7.689	7.459	30	18	2	9	50	24	5	42	7	13	0	3	0	2	1	0	24		43	34	1	2	6		452	50	115	56	23	32	30	16	26	24	4	7	7	35	6	3	4	14		142	53	34	6	2	0	15	22	3	0	0	7		1	0
849.Canyelles	3.614	3.453	3.395	12	2	2	1	13	8	1	9	0	1	1	0	0	0	0	0	8		29	12	1	3	13		104	6	17	15	4	5	11	7	5	6	1	3	2	12	1	8	0	1		28	9	3	2	1	1	7	2	1	0	1	1		0	0
850.lesRoquetes	8.439	6.763	6.436	44	18	6	2	100	50	7	54	3	18	5	3	1	0	1	1	14		190	114	3	3	70		1.252	63	672	72	38	52	125	11	30	60	6	6	10	48	7	20	15	17		234	63	69	2	40	5	20	20	2	4	1	8		0	0
851.Verdun	6.713	5.486	5.254	44	13	3	4	34	39	15	42	4	1	9	3	0	1	0	1	19		111	71	8	0	32		856	45	404	52	26	84	56	16	19	65	1	4	13	27	18	16	3	7		260	76	38	43	22	0	22	47	0	0	1	11		0	0
852.laProsperitat	14.216	12.191	11.858	61	17	10	13	65	34	16	51	7	9	24	0	0	4	0	1	21		185	95	10	8	72		1.366	108	522	109	52	121	123	24	61	73	10	16	18	36	25	38	17	13		474	179	58	13	43	10	37	110	4	0	0	20		0	0
