Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
958.BaródeViver	1.265	1.112	1.086	2	0	1	0	9	5	2	1	2	2	1	0	0	1	0	0	0		62	39	17	1	5		60	9	8	16	5	5	6	4	1	3	0	0	2	0	1	0	0	0		31	9	11	0	2	0	7	1	0	0	0	1		0	0
959.elBonPastor	6.466	5.516	5.307	41	8	5	8	41	12	21	32	2	9	5	0	2	1	2	0	20		159	102	13	14	30		391	69	60	38	29	47	57	11	8	25	1	3	2	5	6	14	7	9		400	65	208	2	56	13	16	38	0	1	0	1		0	0
960.SantAndreu	27.379	25.687	24.991	263	57	53	25	64	24	36	51	25	6	13	7	6	6	4	4	52		293	168	20	26	79		888	115	56	132	90	80	88	51	35	48	22	17	41	30	26	20	21	16		509	212	132	8	22	4	55	18	4	5	3	46		1	1
961.laSagrera	13.764	12.304	11.784	181	39	29	30	55	30	28	37	11	8	14	3	8	5	7	0	35		105	73	6	13	13		855	101	54	164	79	96	83	50	23	78	14	19	19	18	19	11	12	15		498	266	58	14	42	4	49	34	3	2	5	21		0	2
962.elCongrésielsIndians	6.756	6.003	5.680	101	26	22	15	45	31	8	26	0	3	13	2	3	3	2	4	19		77	49	5	7	16		433	72	31	52	39	47	47	22	11	27	4	11	10	20	17	7	7	9		241	116	37	1	16	10	36	16	2	0	2	5		1	1
963.Navas	10.428	9.207	8.689	203	60	27	23	57	19	36	33	6	13	15	1	3	1	4	1	16		128	66	10	29	23		641	63	29	134	57	76	49	30	32	67	12	14	19	16	18	8	12	5		448	265	61	10	14	1	14	20	23	8	5	27		3	1
1064.elCampdelArpadelClot	18.305	15.992	14.656	480	185	117	81	70	49	58	47	36	34	17	16	28	14	15	14	75		267	171	17	19	60		1.274	158	45	187	149	127	96	107	65	89	22	37	59	31	26	10	30	36		762	328	195	25	52	29	29	21	10	25	11	37		7	3
1065.elClot	13.000	11.646	10.835	298	94	56	35	52	31	69	39	17	21	17	9	11	6	6	3	47		227	168	12	12	35		669	82	27	76	67	51	41	68	55	38	16	22	41	27	10	6	18	24		453	229	100	13	10	12	28	13	5	4	8	31		4	1
1066.elParcilaLlacunadelPoblenou	7.591	6.630	5.705	319	109	93	63	44	31	31	20	26	16	19	12	18	13	16	11	84		187	107	17	17	46		404	39	4	37	36	15	21	47	41	13	40	24	23	20	9	7	9	19		365	172	74	12	20	7	19	3	10	0	9	39		3	2
1067.laVilaOlímpicadelPoblenou	4.576	4.329	3.733	178	97	44	58	13	32	25	14	21	10	8	9	6	4	10	7	60		24	16	0	1	7		143	4	0	11	6	3	3	27	19	1	28	14	9	1	4	0	4	9		71	20	18	0	4	0	2	0	2	0	6	19		9	0
1068.elPoblenou	16.532	15.021	13.161	614	275	205	138	44	77	67	49	77	29	26	42	48	15	11	16	127		176	104	11	34	27		684	81	18	44	67	30	40	102	70	17	59	39	42	20	16	6	16	17		633	192	257	5	60	8	9	19	6	2	15	60		17	1
1069.DiagonalMarielFrontMarítimdelPoblenou	6.681	6.166	5.327	194	109	63	55	29	137	39	34	35	7	16	25	16	6	5	7	62		88	43	12	3	30		210	22	0	8	25	4	10	29	30	3	26	15	5	2	11	0	7	13		216	74	36	2	17	0	7	4	4	0	17	55		1	0
1070.elBesòsielMaresme	12.599	8.893	8.063	140	22	18	14	186	128	42	139	15	19	32	4	4	1	3	1	62		736	365	47	247	77		704	84	94	53	65	73	87	47	36	67	4	16	21	8	19	18	8	4		2.265	210	1.685	10	136	39	57	16	2	62	4	44		1	0
1071.ProvençalsdelPoblenou	10.207	9.224	8.508	225	62	44	33	54	58	51	45	26	24	12	5	11	9	11	6	40		191	102	41	28	20		429	58	23	47	47	27	47	37	28	23	12	18	15	10	14	6	11	6		359	129	114	5	46	2	12	13	2	1	13	22		2	2
1072.SantMartídeProvençals	12.271	11.023	10.515	164	40	21	15	71	28	32	55	7	13	16	4	4	7	2	3	26		97	59	10	7	21		605	72	40	96	47	47	69	39	28	57	22	9	31	12	9	4	9	14		543	347	86	9	27	8	20	22	4	8	1	11		1	2
1073.laVernedailaPau	13.762	12.302	11.808	124	22	3	13	82	39	27	64	7	10	26	1	5	4	2	2	63		189	78	19	58	34		630	75	38	91	55	57	84	34	31	58	5	4	24	20	20	2	15	17		639	347	146	6	38	10	27	29	2	15	2	17		2	0
